"comune","provincia","denominazione","tipologia funzionale","denominazione ente","OBR","Sistema bibliotecario","indirizzo","frazione","cap","latitudine","longitudine","telefono","fax","email","url"
"Alatri","Frosinone","Biblioteca Molella","Specializzata","Famiglia Molella",,,"Via Roma 36",,"03011","41.7270673","13.3436113","+39 0775435026",,,
"Alvito","Frosinone","Biblioteca comunale","Pubblica","Comune di Alvito",,,"Palazzo Gallio",,"03041","41.6886667","13.7444544","+39 0776",,,
"Anagni","Frosinone","Biblioteca Mariana","Specializzata",,,,"Via Leone XIII, 4",,"03012","41.7424267","13.1619271","+39 0775.725534",,"beniculturali@diocesianagnialatri.it",
"Anagni","Frosinone","Biblioteca del Pontificio Collegio Leoniano","Specializzata","Pontificio Collegio Leoniano",,,"Via Calzatora 50",,"03012","41.7530169","13.1374853","+39 0775739076","+39 0775727857",,
"Anagni","Frosinone","Biblioteca capitolare","Specializzata","Capitolo della cattedrale di Anagni",,,"Via Leone XIII",,"03012","41.7424267","13.1619271","+39 0775727087",,,
"Aquino","Frosinone","Biblioteca comunale Aquinas","Pubblica","Comune di Aquino","OBR","Sistema bibliotecario Valle dei santi","Piazza IV novembre",,"03031","41.552411","13.913162","+39 0776728003","+39 0776728603","biblioteca.roccia@libero.it",
"Arpino","Frosinone","Biblioteca comunale","Pubblica","Comune di Arpino",,,"Corso Tulliano 49",,"03033","41.6467784","13.612437","+39 0776849241","+39 0776848010","ercomagidi@libero.it",
"Atina","Frosinone","Biblioteca comunale","Pubblica","Comune di Atina","OBR","Sistema bibliotecario Valle dei santi","Via Vittorio Emanuele III",,"03042","41.6100282","13.7868526","+39 0776609162","+39 0776610208","biblioteca.atina@virgilio.it",
"Ausonia","Frosinone","Biblioteca comunale","Pubblica","Comune di Ausonia","OBR","Sistema bibliotecario Valle dei santi","Via Roma 8",,"03040","41.355225","13.748257","+39 0776952021","+39 0776953014","bibliotecausonia@libero.it",
"Casalvieri","Frosinone","Biblioteca comunale","Pubblica","Comune di Casalvieri",,,"Via S. Giovanni",,"03034","41.6876308","13.7414161",,,,
"Cassino","Frosinone","Centro Servizi Bibliotecari di Area Umanistica - Biblioteca Giorgio Aprea","Istituto di insegnamento superiore","Università degli studi di Cassino e del Lazio Meridionale. Centro di Servizi Bibliotecari.",,,"Via Zamosch, 43","c/o ex Facoltà di Lettere e Filosofia","03043","41.49306913","13.83691549",,"+39 07762993831",,
"Ceccano","Frosinone","Biblioteca comunale Filippo Maria de Sanctis","Pubblica","Comune di Ceccano","OBR","Sistema bibliotecario Valle del Sacco","Via S. Sebastiano 3",,"03023","41.5685521","13.3333183","+39 0775622422","+39 0775622420","ceccano@bibliotechevalledelsacco.it","http://www.bibliotechevalledelsacco.it/biblioteche/ceccano.aspx"
"Ceprano","Frosinone","Biblioteca del Convento dei padri carmelitani scalzi","Specializzata","Carmelitani scalzi. Santuario S. Maria del Carmine di Ceprano",,,"Via Colle Corvi 1",,"03024","41.5454682","13.5089907","+39 0775914148","+39 0775914148",,
"Ceprano","Frosinone","Biblioteca comunale","Pubblica","Comune di Ceprano","OBR","Sistema bibliotecario Valle del Sacco","Via A. Moro",,"03024","41.5460293","13.5124586","+39 0775912833","+39 0775911250","biblioteca.ceprano@libero.it",
"Cervaro","Frosinone","Biblioteca comunale","Pubblica","Comune di Cervaro",,,"Piazza Vittorio Emanuele 1",,"03044","41.4812639","13.9049086","+39 0776367001","+39 0776366354","cervaro@officine.it","http://www.comune.cervaro.fr.it/educativo_03.php"
"Colfelice","Frosinone","Biblioteca comunale","Pubblica","Comune di Colfelice",,,"Viale della Repubblica",,"03030","41.5565033","13.6036612","+39 0776527613","+39 0776527169","info@comune.colfelice.fr.it","http://www.comune.colfelice.fr.it"
"Collepardo","Frosinone","Biblioteca statale del Monumento nazionale di Trisulti","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Monumento nazionale di Trisulti",,,"Via Trisulti 8",,"03010","41.7645128","13.3704819","+39 077547024","+39 077547025","bmn-trs@beniculturali.it","http://www.bibliotechepubblichestatali.it/moduli/biblpubbl/biblioteca.jsp?s=2&idIstitutoUfficio=47"
"Collepardo","Frosinone","Biblioteca comunale La Rocca","Pubblica","Comune di Collepardo",,,"Via M. Tolomei 35",,"03010","41.7626526","13.3682739",,,"biblioteca@collepardo.it",
"Ferentino","Frosinone","Biblioteca del Seminario vescovile di Ferentino","Specializzata","Diocesi di Frosinone-Veroli-Ferentino",,,"Via G. Morosini 54",,"03013","41.6939531","13.2578424","+39 0775.244065","+39 0775.244065","beniculturali@diocesifrosinone.com","http://www.seminariovescovileferentino.it"
"Fiuggi","Frosinone","Biblioteca comunale","Pubblica","Comune di Fiuggi",,,"Piazza Trento e Trieste",,"03014","41.8040721","13.2214959","+39 0775505880","+39 07755461323","informagiovani@comunedifiuggi.it",
"Frosinone","Frosinone","Biblioteca dell'Archivio di Stato di Frosinone","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Frosinone",,,"Piazzale De Matthaeis 41",,"03100","41.6469201","13.3487055","+39 0775872522","+39 0775270603","asfr@archivi.beniculturali.it",
